Qualifications,Employment_Type,Age,City,State,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
PG,SAL,38,Vinjamur,AP,524228,Male,MC,93926,74.54,O,38500,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,28,Siddanakonduru,AP,524225,Male,MC,121978,90.51,O,27260,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,DECLINED
OTHERS,AGR,56,Giddaluru ,AP,523369,Male,MO,69280,82.18,O,28000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,32,M.M.T. Road,AP,523212,Male,SC,112864,87.83,O,28000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,23,Chillakur,AP,524412,Male,SC,86662,64.92,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,40,C.S.Puram,AP,523112,Male,MC,76097,86.97,O,36500,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,SEP,21,Vidavalur,AP,524218,Male,MC,113582,88.32,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,57,Masila Project,AP,524301,Male,SC,91699,91.63,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
SSC,SEP,56,Ethamukkala,AP,523280,Male,SC,56000,55.95,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
OTHERS,SAL,44,Gudur,AP,524101,Male,MO,66768,79.16,O,55000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,SEP,25,Gossanimari,WB,736145,Male,MC,139688,89.03,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,54,Saltora,WB,722158,Male,MO,50000,60.09,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,NREGI,24,Paikar,WB,731221,Male,MC,113200,69.98,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
SSC,AGR,21,Purulia,WB,723101,Male,MC,59500,37.9,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,24,Keshpur,WB,721150,Male,MC,112000,66.31,O,35000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,35,Elamarru,AP,521148,Female,MO,67168,83.28,O,20000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,DECLINED
HSC,AGR,53,Bapatla,AP,522101,Male,MO,66373,82.3,O,34500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,25,Narasaraopet ,AP,522603,Male,MO,71315,84.55,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
GRAD,SAL,22,Polakampadu Ind. Area,AP,522501,Female,SC,90630,90.55,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
SSC,SAL,39,Pedanandipadu,AP,522235,Female,MO,73127,86.7,O,29000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,27,Apuhs,AP,520008,Male,EB,119114,79.41,O,25000,04 Metro,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,34,Mylavaram ,AP,521230,Female,SC,114094,85.48,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,40,Morrispeta,AP,522202,Male,SC,86912,86.84,O,40000,05 Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,28,Kodali,AP,521132,Male,SC,60632,59.88,O,25000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,28,Piduguralla,AP,522413,Female,SC,108534,81.31,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,DECLINED
OTHERS,AGR,43,A.B.V.Palem,AP,523171,Male,MC,72824,75.08,O,250000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,24,Prathipadu ,AP,522019,Male,SC,107311,86.19,O,32000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,43,Gunadala,AP,520004,Male,MO,70064,86.87,O,35000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,24,Vijayawada,AP,520001,Female,SC,107012,88.51,O,30000,04 Metro,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,58,Kothapet,AP,522647,Female,SC,83583,60.35,O,55000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,30,Chebrole (Gu),AP,522212,Male,EB,99221,59.77,O,116000,06 Semi-Urban,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,32,Kothapet,AP,522647,Female,MO,73666,91.34,O,29500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,22,Gudivada,AP,521301,Male,SC,116698,90.82,O,20000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,34,Vijayawada,AP,520001,Male,MO,71170,88.25,O,23000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,AGR,36,Bellamkonda,AP,522411,Male,MO,74193,91.99,O,26500,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
UG,SAL,27,Bus Stand,AP,522001,Male,MC,98215,77.95,O,70000,05 Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,53,Kolluru,AP,522324,Male,MO,56892,67.45,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,43,A.P.High Court,AP,522237,Male,SC,103482,85.59,O,27000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,39,Isukapalle,AP,522265,Female,SC,79362,79.3,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
GRAD,SEP,41,R T Nagar,KA,560032,Male,SC,89000,75.1,R,50000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
